統計期,按新臺幣計算(百萬元)
99年 1月,2894
99年 2月,1679
99年 3月,2722
99年 4月,2900
99年 5月,3314
99年 6月,2858
99年 7月,2850
99年 8月,3048
99年 9月,2994
99年 10月,3089
99年 11月,3186
99年 12月,3154
100年 1月,3269
100年 2月,1914
100年 3月,3372
100年 4月,3433
100年 5月,3695
100年 6月,2983
100年 7月,2855
100年 8月,3113
100年 9月,2905
100年 10月,3725
100年 11月,3784
100年 12月,3787
101年 1月,3009
101年 2月,3003
101年 3月,3527
101年 4月,3607
101年 5月,4092
101年 6月,3687
101年 7月,3807
101年 8月,3820
101年 9月,4083
101年 10月,4151
101年 11月,3823
101年 12月,4346
102年 1月,4145
102年 2月,2569
102年 3月,4369
102年 4月,4355
102年 5月,4541
102年 6月,4721
102年 7月,4267
102年 8月,4727
102年 9月,4334
102年 10月,4834
102年 11月,4984
102年 12月,5290
103年 1月,4366
103年 2月,3347
103年 3月,5233
103年 4月,5453
103年 5月,5488
103年 6月,4905
103年 7月,4918
103年 8月,5220
103年 9月,4699
103年 10月,4666
103年 11月,4681
103年 12月,4879
104年 1月,5623
104年 2月,3445
104年 3月,5003
104年 4月,4806
104年 5月,5137
104年 6月,4777
104年 7月,4673
104年 8月,5175
104年 9月,4720
104年 10月,4846
104年 11月,5005
104年 12月,5599
105年 1月,5375
105年 2月,3536
105年 3月,5297
105年 4月,5239
105年 5月,5707
105年 6月,5346
105年 7月,5127
105年 8月,5376
105年 9月,3922
105年 10月,5795
105年 11月,5603
105年 12月,5499
106年 1月,5015
106年 2月,3921
106年 3月,5024
106年 4月,4949
106年 5月,5197
106年 6月,5311
106年 7月,6441
106年 8月,6054
106年 9月,6208
106年 10月,6005
106年 11月,6697
106年 12月,6322
107年 1月,6424
107年 2月,3660
107年 3月,5999
107年 4月,5694
107年 5月,6936
107年 6月,6491
107年 7月,6389
107年 8月,6070
107年 9月,6781
107年 10月,6963
107年 11月,6628
107年 12月,7064
108年 1月,6337
108年 2月,3870
108年 3月,7309
108年 4月,6612
108年 5月,6823
108年 6月,7332
108年 7月,7192
108年 8月,6370
108年 9月,6520
108年 10月,6935
108年 11月,7114
108年 12月,7577
109年 1月,5301
109年 2月,4665
109年 3月,6092
109年 4月,5237
109年 5月,6242
109年 6月,6273
109年 7月,6190
109年 8月,7094
109年 9月,6250
109年 10月,6757
109年 11月,7084
109年 12月,6982
110年 1月,6904
110年 2月,4239
110年 3月,7027
110年 4月,7284
110年 5月,8044
110年 6月,6902
110年 7月,7132
110年 8月,7615
110年 9月,6632
110年 10月,7975
110年 11月,7353
110年 12月,8089
111年 1月,6258
111年 2月,5079
111年 3月,6395
111年 4月,6382
111年 5月,7509
111年 6月,6867
111年 7月,7898
111年 8月,6273
111年 9月,5886
111年 10月,6945
111年 11月,7321
111年 12月,6186
112年 1月,5744
112年 2月,5141
112年 3月,6850
112年 4月,6511
112年 5月,7037